Borehole_id,gw_ahd,gwd_bg,Elevation,Lithology_at_water_level,at_thickness,Lithology_above,above_thickness,Lithology_below,below_thickness,,,,,,,,,,
GW099031.1.1,3573.469,5.784,357.94,Clay,5,Soil,1,Alluvium,4,,,,,,,,,,
GW099032.1.1,NA,NA,NA,,,,,,,,,,,,,,,,
GW099033.1.1,NA,NA,NA,,,,,,,,,,,,,,,,
GW099034.1.1,NA,NA,NA,,,,,,,,,,,,,,,,
GW099035.1.1,NA,NA,NA,,,,,,,,,,,,,,,,
GW099036.1.1,NA,NA,NA,,,,,,,,,,,,,,,,
GW099037.1.1,NA,NA,NA,,,,,,,,,,,,,,,,
GW099038.1.1,NA,NA,NA,,,,,,,,,,,,,,,,
GW099039.1.1,NA,NA,NA,,,,,,,,,,,,,,,,
GW099040.1.1,NA,NA,NA,,,,,,,,,,,,,,,,
GW099041.1.1,NA,NA,NA,,,,,,,,,,,,,,,,
GW099042.1.1,NA,NA,NA,,,,,,,,,,,,,,,,
GW099043.1.1,NA,NA,NA,,,,,,,,,,,,,,,,
GW099044.1.1,275.618,54.772,NA,,,,,,,,,,,,,,,,
GW099045.1.1,280.752,49.838,NA,,,,,,,,,,,,,,,,
GW273033.1.1,384.812,7.189,393,Sandy Clay,7,Topsoil,3,Gravel,5.8,,,,,,,,,,
GW273307.1.1,NA,NA,NA,,,,,,,,,,,,,,,,
GW273308.1.1,317.27,23.01,341.19,Basalt,49,Sandstone,10.5,Clay,5,,,,,,,,,,
GW965569.1.2,339.801,10.367,351.07,Sandstone,1,Sandstone,1,Mudstone,13,,,,,,,,,,
GW967137.1.1,252.969,4.558,281.5,Gravel,6,Sand,5,Gravel,1,,,,,,,,,,
GW967137.2.2,251.671,5.862,281.5,Gravel,6,Sand,5,Gravel,1,,,,,,,,,,
GW967138.1.1,284.159,3.301,313.61,Sand,4,None,0,Gravel,8,,,,,,,,,,
GW967138.2.2,281.2,5.94,313.61,Gravel,8, Sand	,4,Clay,10,,,,,,,,,,
GW968319.1.1,280.611,21.448,NA,,,,,,,,,,,,,,,,
GW968997.1.1,285.387,63.75,349.67,Tuff,66,Silt,2,Bedrock,208,,,,,,,,,,
GW969004.1.1,281.699,18.652,301.18,Clay,22,Topsoil,2,Sand,3,,,,,,,,,,
GW969005.1.1,281.691,18.422,301.24,Clay,22,Topsoil,2,Sand,18,,,,,,,,,,
GW969006.1.1,281.657,18.764,301.39,Clay,22,Topsoil,2,Sand,18,,,,,,,,,,
GW969007.1.1,281.685,18.624,301.43,Clay,22,Topsoil,2,Sand,18,,,,,,,,,,
GW969008.1.1,284.927,15.408,301.47,Clay,18,Topsoil,2,Silty Clay,6,,,,,,,,,,
GW969015.1.1,285.944,64.001,351.01,Tuff,66,Silt,2,Bedrock,180,,,,,,,,,,
GW970321.1.1,284.595,11.546,297.23,Sand,7,Clay,6,Sand,5,,,,,,,,,,
GW970322.1.1,285.837,10.304,297.25,Silt,7,Silt,1,Gravel,14,,,,,,,,,,
GW970323.1.1,288.914,7.11,0,Sand,5,Silt,1,Silt,4,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
