WL,Date,Borehole,,
163.401,5/1/2021,GW025045.2.1,,
163.433,6/1/2021,GW025045.2.1,,
163.469,7/1/2021,GW025045.2.1,,
163.506,8/1/2021,GW025045.2.1,,
163.543,9/1/2021,GW025045.2.1,,
163.559,10/1/2021,GW025045.2.1,,
163.605,11/1/2021,GW025045.2.1,,
163.631,12/1/2021,GW025045.2.1,,
163.653,1/1/2022,GW025045.2.1,,
163.686,2/1/2022,GW025045.2.1,,
163.727,3/1/2022,GW025045.2.1,,
163.76,4/1/2022,GW025045.2.1,,
163.804,5/1/2022,GW025045.2.1,,
161.59,2/1/2010,GW025045.3.2,,
163.845,3/1/2010,GW025045.3.2,,
165.132,4/1/2010,GW025045.3.2,,
165.311,5/1/2010,GW025045.3.2,,
165.17,6/1/2010,GW025045.3.2,,
165.229,7/1/2010,GW025045.3.2,,
165.475,8/1/2010,GW025045.3.2,,
165.64,9/1/2010,GW025045.3.2,,
165.482,10/1/2010,GW025045.3.2,,
165.76,11/1/2010,GW025045.3.2,,
165.893,12/1/2010,GW025045.3.2,,
164.856,1/1/2011,GW025045.3.2,,
164.007,2/1/2011,GW025045.3.2,,
165.16,3/1/2011,GW025045.3.2,,
165.836,4/1/2011,GW025045.3.2,,
166.033,5/1/2011,GW025045.3.2,,
166.178,6/1/2011,GW025045.3.2,,
166.053,7/1/2011,GW025045.3.2,,
163.371,8/1/2011,GW025045.3.2,,
165.423,9/1/2011,GW025045.3.2,,
166.025,10/1/2011,GW025045.3.2,,
166.162,11/1/2011,GW025045.3.2,,
166.371,12/1/2011,GW025045.3.2,,
164.876,1/1/2012,GW025045.3.2,,
165.82,2/1/2012,GW025045.3.2,,
166.036,3/1/2012,GW025045.3.2,,
166.678,4/1/2012,GW025045.3.2,,
166.92,5/1/2012,GW025045.3.2,,
167.149,6/1/2012,GW025045.3.2,,
167.349,7/1/2012,GW025045.3.2,,
167.511,8/1/2012,GW025045.3.2,,
166.88,9/1/2012,GW025045.3.2,,
166.528,10/1/2012,GW025045.3.2,,
166.325,11/1/2012,GW025045.3.2,,
165.106,12/1/2012,GW025045.3.2,,
164.283,1/1/2013,GW025045.3.2,,
165.825,2/1/2013,GW025045.3.2,,
166.515,3/1/2013,GW025045.3.2,,
166.881,4/1/2013,GW025045.3.2,,
167.09,5/1/2013,GW025045.3.2,,
167.369,6/1/2013,GW025045.3.2,,
167.094,7/1/2013,GW025045.3.2,,
166.999,8/1/2013,GW025045.3.2,,
166.371,9/1/2013,GW025045.3.2,,
164.541,10/1/2013,GW025045.3.2,,
164.991,11/1/2013,GW025045.3.2,,
162.457,12/1/2013,GW025045.3.2,,
160.786,1/1/2014,GW025045.3.2,,
162.851,2/1/2014,GW025045.3.2,,
164.87,3/1/2014,GW025045.3.2,,
165.93,4/1/2014,GW025045.3.2,,
166.04,5/1/2014,GW025045.3.2,,
165.452,6/1/2014,GW025045.3.2,,
165.704,7/1/2014,GW025045.3.2,,
164.306,8/1/2014,GW025045.3.2,,
164.192,9/1/2014,GW025045.3.2,,
162.532,10/1/2014,GW025045.3.2,,
161.786,11/1/2014,GW025045.3.2,,
161.515,12/1/2014,GW025045.3.2,,
161.317,1/1/2015,GW025045.3.2,,
160.968,2/1/2015,GW025045.3.2,,
163.804,3/1/2015,GW025045.3.2,,
165.008,4/1/2015,GW025045.3.2,,
165.195,5/1/2015,GW025045.3.2,,
165.325,6/1/2015,GW025045.3.2,,
165.438,7/1/2015,GW025045.3.2,,
165.342,8/1/2015,GW025045.3.2,,
164.98,9/1/2015,GW025045.3.2,,
162.129,10/1/2015,GW025045.3.2,,
164.327,11/1/2015,GW025045.3.2,,
160.255,12/1/2015,GW025045.3.2,,
161.435,1/1/2016,GW025045.3.2,,
162.961,2/1/2016,GW025045.3.2,,
163.82,3/1/2016,GW025045.3.2,,
164.61,4/1/2016,GW025045.3.2,,
164.726,5/1/2016,GW025045.3.2,,
164.954,6/1/2016,GW025045.3.2,,
165.055,7/1/2016,GW025045.3.2,,
165.081,8/1/2016,GW025045.3.2,,
165.272,9/1/2016,GW025045.3.2,,
165.336,10/1/2016,GW025045.3.2,,
165.35,11/1/2016,GW025045.3.2,,
164.703,12/1/2016,GW025045.3.2,,
164.596,1/1/2017,GW025045.3.2,,
164.522,2/1/2017,GW025045.3.2,,
165.103,3/1/2017,GW025045.3.2,,
165.052,4/1/2017,GW025045.3.2,,
165.044,5/1/2017,GW025045.3.2,,
165.468,6/1/2017,GW025045.3.2,,
165.544,7/1/2017,GW025045.3.2,,
165.496,8/1/2017,GW025045.3.2,,
163.337,9/1/2017,GW025045.3.2,,
163.675,10/1/2017,GW025045.3.2,,
164.765,11/1/2017,GW025045.3.2,,
161.798,12/1/2017,GW025045.3.2,,
158.604,1/1/2018,GW025045.3.2,,
160.183,2/1/2018,GW025045.3.2,,
163.961,3/1/2018,GW025045.3.2,,
164.633,4/1/2018,GW025045.3.2,,
164.124,5/1/2018,GW025045.3.2,,
163.971,6/1/2018,GW025045.3.2,,
164.634,7/1/2018,GW025045.3.2,,
164.647,8/1/2018,GW025045.3.2,,
163.149,9/1/2018,GW025045.3.2,,
