Borehole,Elevation(m) -AHD,Lat,Lon,GW-AHD(12/06/22),"Total_Thickness (m)",num_Lithology_type,total_layer,nl_soil,tn_soil,nl_clay,tn_clay,nl_gravel,tn_gravel,nl_sand,tn_sand,nl_shale,tn_shale,nl_topsoil,tn_topsoil,nl_sandy_clay,tn_sandy_clay,nl_sandstone,tn_sandstone,nl_ironstone,tn_ironstone,nl_rock,tn_rock,nl_bedrock,tn_bedrock,nl_boulders,tn_boulders,nl_slate,tn_slate,nl_basalt,tn_basalt,nl_conglomerate,tn_conglomerate,nl_calcarenite,tn_calcarenite,nl_clayey_sand,tn_clayey_sand,nl_loam,tn_loam,nl_siltstone,tn_siltstone,nl_granite,tn_granite,nl_sandy_clay_with_gravel,tn_sandy_clay_with_gravel,nl_coal,tn_coal,nl_claystone,tn_claystone,nl_volcanic,tn_volcanic,nl_silt,tn_slit,nl_colluvium,tn_colluvium,nl_rhyolite,tn_rhyolite,nl_tuff,tn_tuff,nl_alluvium,tn_alluvium,nl_sandy_shale,tn_sandy_shale,nl_mudstone,tn_mudstone,nl_silty_clay,tn_silty_clay,nl_unknown,tn_unknown
GW036255,158.55,29.83261111,148.99058333,124.058,126.8,4,15,,,6,78.33,6,42.07,,,2,4.88,1,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW036320,148.5,29.98788889,148.742,122.6200,80,4,23,,,10,36.7,,,5,10.8,,,1,5,,,7,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW036334,360.55,31.54508333,150.20780556,337.9310,182.9,5,25,,,7,22.8,,,3,31.5,5,70.5,,,,,9,58.1,,,,,,,,,,,1,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW036384,346.99,31.55575,150.25911111,333.9770,182.9,5,34,,,19,73.5,,,1,2.1,2,11.5,,,,,7,50.3,,,,,,,,,,,5,45.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW036413,321.18,31.40897222,150.21225,318.9440,152.4,6,25,,,16,84.1,,,3,10.1,2,36.6,,,,,,,,,,,,,,,,,1,9.4,2,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,26.2
GW036415,332.9,30.77647222,150.37780556,303.8630,86.2,4,30,,,18,60.9,7,16.4,3,6.7,,,,,,,,,,,2,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW036418,308.61,30.82758333,150.37975,277.6010,114,4,32,,,21,80.5,6,21.6,4,9.9,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW036478,256.63,30.82813889,149.95836111,233.0100,65,4,31,,,15,53.14,5,11.86,10,24,,,,,,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW036515,280.02,31.01111111,149.86030556,263.4530,126.5,4,15,,,7,90,1,6,5,26,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.5
GW036600,246.97,30.76119444,150.03669444,236.2935,120,6,50,,,26,92.5,11,36,10,23.5,1,4,1,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
