Date,residual,fitted
2018-11-13,0.029815674,0.94777656
2018-11-14,0.030029297,0.9477422
2018-11-15,0.02999878,0.94756866
2018-11-16,0.030151367,0.9474876
2018-11-17,0.030273438,0.94745135
2018-11-18,0.030700684,0.9471662
2018-11-19,0.030944824,0.94704795
2018-11-20,0.03060913,0.94733596
2018-11-21,0.029510498,0.9478071
2018-11-22,0.028625488,0.9482
2018-11-23,0.029541016,0.9477651
2018-11-24,0.029968262,0.94752383
2018-11-25,0.029846191,0.9475181
2018-11-26,0.030456543,0.9473293
2018-11-27,0.030883789,0.9470451
2018-11-28,0.03012085,0.9474008
2018-11-29,0.030975342,0.9469192
2018-11-30,0.03152466,0.94655395
2018-12-01,0.031982422,0.9464443
2018-12-02,0.031097412,0.9467943
2018-12-03,0.031677246,0.9465177
2018-12-04,0.032196045,0.9462373
2018-12-05,0.032592773,0.9459951
2018-12-06,0.033050537,0.9457977
2018-12-07,0.032958984,0.9457948
2018-12-08,0.032684326,0.9458692
2018-12-09,0.03250122,0.9460342
2018-12-10,0.032165527,0.9461057
2018-12-11,0.03253174,0.9458635
2018-12-12,0.03213501,0.94601893
2018-12-13,0.03125,0.9465864
2018-12-14,0.029937744,0.9472635
2018-12-15,0.030883789,0.9469154
2018-12-16,0.030883789,0.94678473
2018-12-17,0.031066895,0.94670653
2018-12-18,0.031402588,0.9464195
2018-12-19,0.032073975,0.9461887
2018-12-20,0.03164673,0.9463432
2018-12-21,0.031585693,0.94647
2018-12-22,0.032409668,0.9459436
2018-12-23,0.033691406,0.9451349
2018-12-24,0.034362793,0.94481826
2018-12-25,0.03439331,0.94477534
2018-12-26,0.033996582,0.9448459
2018-12-27,0.034210205,0.9448974
2018-12-28,0.033569336,0.94512916
2018-12-29,0.03314209,0.94537044
2018-12-30,0.03302002,0.94536567
2018-12-31,0.032165527,0.9458034
2019-01-01,0.031951904,0.94614005
2019-01-02,0.031585693,0.9462106
2019-01-03,0.03161621,0.94616866
2019-01-04,0.03201294,0.94588447
2019-01-05,0.032470703,0.945688
2019-01-06,0.033050537,0.94540954
2019-01-07,0.033599854,0.9449575
2019-01-08,0.03414917,0.94476485
2019-01-09,0.03475952,0.94435954
2019-01-10,0.03491211,0.9437177
2019-01-11,0.034729004,0.9433639
2019-01-12,0.03314209,0.9431236
2019-01-13,0.032287598,0.9429128
2019-01-14,0.03213501,0.9427326
2019-01-15,0.030761719,0.9425447
2019-01-16,0.03125,0.9426515
2019-01-17,0.031402588,0.9426153
2019-01-18,0.031555176,0.94240546
2019-01-19,0.03237915,0.9420955
2019-01-20,0.03302002,0.9418628
2019-01-21,0.03286743,0.9420297
2019-01-22,0.03265381,0.9421079
2019-01-23,0.03250122,0.9421003
2019-01-24,0.033111572,0.9419544
2019-01-25,0.033203125,0.9418714
2019-01-26,0.033355713,0.94196486
2019-01-27,0.033355713,0.941921
2019-01-28,0.0340271,0.9416053
2019-01-29,0.03451538,0.9414089
2019-01-30,0.034851074,0.9412954
2019-01-31,0.035095215,0.941262
2019-02-01,0.035491943,0.940933
2019-02-02,0.036071777,0.9407861
2019-02-03,0.035858154,0.94082046
2019-02-04,0.03616333,0.9408748
2019-02-05,0.0362854,0.9408386
2019-02-06,0.036743164,0.94064116
2019-02-07,0.036987305,0.9405229
2019-02-08,0.036956787,0.94073653
2019-02-09,0.036193848,0.9409635
2019-02-10,0.03717041,0.94066024
2019-02-11,0.037231445,0.9405334
2019-02-12,0.037353516,0.94062495
2019-02-13,0.037506104,0.94045806
2019-02-14,0.039276123,0.9396274
2019-02-15,0.040222168,0.93910575
2019-02-16,0.040374756,0.9390695
2019-02-17,0.040130615,0.9393194
2019-02-18,0.040039062,0.9394443
2019-02-19,0.039886475,0.9395664
2019-02-20,0.040039062,0.9394443
2019-02-21,0.040771484,0.9390867
2019-02-22,0.041748047,0.93860984
2019-02-23,0.042388916,0.93824935
2019-02-24,0.04348755,0.93786407
2019-02-25,0.04360962,0.9376533
2019-02-26,0.04385376,0.93779445
2019-02-27,0.043670654,0.9378288
2019-02-28,0.044158936,0.9375913
2019-03-01,0.04449463,0.93743205
2019-03-02,0.044830322,0.9373596
2019-03-03,0.044799805,0.93731475
